Style,Style DescriptioItnem,Item DescriptioCnolor Color Descr Grid,Size,,,Variant,Made In,Department Gender,,Product FamilyProduct SubgroQutpy,,RRP,,Unit Price,Total Sell,WH Mov. Ref.,Carton No,EAN code,SKU Tariff code,,Unit Weight KG,Total Unit Weight,Material1 Material1 composition,Finish1 Material2,Material2 composition,,Finish2,Material3,,Material3 composition,Finish3,Lining Type,Lining Composition
600641,L7GM501T-6S20414740,SILK PRINTED F813 BONE/CARAME1L6,1,,,,IT,Ready to WearLADIES,,RTW ACCESSORBIAESNDEAU 1,,€1 20.00,,€2 1.60,€21.60,WFCH01/2023/03/1846-24,CH-2022-000110614,7612501945860,623501200162141000,,0.010,0.010,SILK Silk,PRINTED,,,,,,,,,
594169,ASTOR 35 M.SF21272,BOVINE SPLIT PFL0A6I5N SMOKE GREY 2019,110,,,,IT,Accessories MENS,,ACC BELTS ADJUSTABLE/REVERSIBL1,,€250.00,,€4 5.00,€45.00,WFCH01/2023/03/1846-25,CH-2022-000118092,7612501488190,623225600142033000,,0.197,0.197,BOVINE SPLIMT 1:YB92PU08,PLAIN BOVINE SPLIMT 2:YB92PU08,,,PLAIN,,,,,,
601481,BIENY-T-W 25470,MIX POLYESTERF 1F0A0BRIC 0001 BLACK/W0H5ITE,36,,,E,CN,Shoes LADIES,,SHOES SNEAKER 1,,€380.00,,€6 8.40,€68.40,WFCH01/2023/03/1846-26,CH-2022-000118101,7612506352908,6237793006 4052000,,0.494,0.494,MIX POLYESMTE1R:PL85RU15,FABRIC CALF,M2:100%Calf,,PLAIN,,,M3:100%Calf,,,
598217,FRU 23650,CALF PLAIN F001 CAILLOU 19 23,1,,,,IT,Accessories LADIES,,ACC LLG MINIBAG 2,,€395.00,,€7 1.10,€1 42.20,WFCH01/2023/03/1846-27,CH-2022-000118079,7612501545954,623093700142022100,,0.182,0.364,CALF M1:100%Bovine,PLAIN CALF,M2:100%Bovine,,,,,M3:100%Bovine,,,LN:LI51CO49
583925,ASTOR 35 M 20792,CALF EMBOSSEFD027 INK 15 19,110,,,,IT,Accessories MENS,,ACC BELTS ADJUSTABLE/REVERSIBL1,,€225.00,,€4 0.50,€40.50,WFCH01/2023/03/1846-28,CH-2022-000124288,7612501504470,623225300142033000,,0.188,0.188,CALF M1:100%Calf,EMBOSSEBDOVINE SPLIMT 2:YB92PU08,,,PLAIN,,,,,,
WHA00C,L8BA078F CO110,CANVAS COTTOUN9 0O1UTLET BGLAADCEKS 14,58,,,,IT,Ready to WearLADIES,,RTW ACCESSORBIAESEBALL CAP 1,,€165.00,,€2 9.70,€29.70,WFCH01/2023/03/1846-29,CH-2022-000100460,7617659583469,630123200465050080,,0.148,0.148,COTTON M1:Cotton,PRINTED,,,,,,,,,
597039,LAIKA SUZY.EX 21946,WATERSNAKE MF0A5T4T MULTICOLOR 23,1,,,,IT,Accessories LADIES,,ACC SLG MINIBAG 3,,€280.00,,€5 0.40,€1 51.20,WFCH01/2023/03/1846-30,CH-2022-000110618,7612501250827,623000400142022100,,0.118,0.354,WATERSNAKME1:100%KingRatSnake,MATT CALF,M2:100%Bovine,,EMBOSSED,,,M3:100%Calf,,,LN:100%Cotton
597232,FLAIRE 20594,SYNTHETIC FABFR0I0C7 INK 15 23,1,,,,CN,Accessories LADIES,,ACC LLG BACKPACK 1,,€310.00,,€5 5.80,€55.80,WFCH01/2023/03/1846-31,CH-2022-000124255,7612501240866,622988500142029200,,0.197,0.197,SYNTHETIC M1:PA92PU08,FABRIC BOVINE SPLIMT 2:YB91PU09,,,EMBOSSED,,,M3:NY92PU08,,,
600841,BROYS-I-W 25315,CALF RUBBER-CFO00A7TED 0300 WHITE 05,37,,,E,CN,Shoes LADIES,,SHOES SNEAKER 3,,€4 00.00,,€7 2.00,€2 16.00,WFCH01/2023/03/1846-32,CH-2022-000124268,7612506369593,623780700564039993,,0.533,1.599,CALF TO:96Calf04Polyethylene,RUBBER-CAOLAFTED,,,INTERLACED,,,,,,L1:89Calf07Nylon04Polyurethane
597902,L5BA424F-214501740,SILK PRINTED F161 01551 MULTI C1A5ILLOU,38,,,,IT,Ready to WearLADIES,,RTW CLOTHINGSHIRT 1,,€5 95.00,,€1 07.10,€1 07.10,WFCH01/2023/03/1846-33,CH-2022-000124284,7612501559432,6233339006 2061090,,0.232,0.232,SILK M1:Silk,PRINTED,M2:Silk,,,,,,,,
